Series,Time,Value
Load,2021-05-19T03:00:00+07:00,275,4276656508446
Load,2021-05-19T04:00:00+07:00,309,50407096743584
Load,2021-05-19T05:00:00+07:00,304,2508068084717
Load,2021-05-19T06:00:00+07:00,287,2010498046875
Load,2021-05-19T07:00:00+07:00,247,82786560058594
Load,2021-05-19T08:00:00+07:00,226,63111877441406
Load,2021-05-19T09:00:00+07:00,208,62603759765625
Load,2021-05-19T10:00:00+07:00,208,8758430480957
Load,2021-05-19T11:00:00+07:00,196,88976287841797
Load,2021-05-19T12:00:00+07:00,195,21762084960938
Load,2021-05-19T13:00:00+07:00,201,7421989440918
Load,2021-05-19T14:00:00+07:00,217,24806213378906
Load,2021-05-19T15:00:00+07:00,250,6761121749878
Load,2021-05-19T16:00:00+07:00,423,4528160095215
Load,2021-05-19T17:00:00+07:00,427,06565046310425
Load,2021-05-19T18:00:00+07:00,394,051741540432
Load,2021-05-19T19:00:00+07:00,372,05265298485756
Load,2021-05-19T20:00:00+07:00,344,0509793162346
Load,2021-05-19T21:00:00+07:00,305,051452845335
Load,2021-05-19T22:00:00+07:00,280,0489056110382
Load,2021-05-19T23:00:00+07:00,270,0496325790882
Load,2021-05-20T00:00:00+07:00,260,05098739266396
Load,2021-05-20T01:00:00+07:00,256,0495946109295
Load,2021-05-20T02:00:00+07:00,254,05163794755936
Load,2021-05-20T03:00:00+07:00,268,05035573244095
Load,2021-05-20T04:00:00+07:00,308,118491768837
Load,2021-05-20T05:00:00+07:00,13,807032108306885
Load,2021-05-20T06:00:00+07:00,280,5533275604248
Load,2021-05-20T07:00:00+07:00,248,01162719726562
Load,2021-05-20T08:00:00+07:00,229,5465087890625
Load,2021-05-20T09:00:00+07:00,221,64898681640625
Load,2021-05-20T10:00:00+07:00,209,62792205810547
Load,2021-05-20T11:00:00+07:00,210,87547302246094
Load,2021-05-20T12:00:00+07:00,204,2046890258789
Load,2021-05-20T13:00:00+07:00,204,0676727294922
Load,2021-05-20T14:00:00+07:00,223,80970764160156
Load,2021-05-20T15:00:00+07:00,251,59967803955078
Load,2021-05-20T16:00:00+07:00,414,21960830688477
Load,2021-05-20T17:00:00+07:00,438,15889263153076
Load,2021-05-20T18:00:00+07:00,409,2086410522461
Load,2021-05-20T19:00:00+07:00,389,2691544890404
Load,2021-05-20T20:00:00+07:00,349,26822596788406
Load,2021-05-20T21:00:00+07:00,312,26799362897873
Load,2021-05-20T22:00:00+07:00,289,2667962908745
Load,2021-05-20T23:00:00+07:00,276,26599311828613
Load,2021-05-21T00:00:00+07:00,270,26735562086105
Load,2021-05-21T01:00:00+07:00,265,266520768404
Load,2021-05-21T02:00:00+07:00,262,26630759239197
Load,2021-05-21T03:00:00+07:00,280,26721715927124
Load,2021-05-21T04:00:00+07:00,302,75022564828396
Load,2021-05-21T05:00:00+07:00,329,98194694519043
Load,2021-05-21T06:00:00+07:00,296,9264907836914
Load,2021-05-21T07:00:00+07:00,260,4192428588867
Load,2021-05-21T08:00:00+07:00,236,89735412597656
Load,2021-05-21T09:00:00+07:00,225,3493194580078
Load,2021-05-21T10:00:00+07:00,227,46148300170898
Load,2021-05-21T11:00:00+07:00,219,60100173950195
Load,2021-05-21T12:00:00+07:00,215,8978271484375
Load,2021-05-21T13:00:00+07:00,218,03102493286133
Load,2021-05-21T14:00:00+07:00,228,88447189331055
Load,2021-05-21T15:00:00+07:00,253,4034538269043
Load,2021-05-21T16:00:00+07:00,427,02672386169434
Load,2021-05-21T17:00:00+07:00,434,544376373291
Load,2021-05-21T18:00:00+07:00,397,3911142349243
Load,2021-05-21T19:00:00+07:00,374,00837326049805
Load,2021-05-21T20:00:00+07:00,343,4735230207443
Load,2021-05-21T21:00:00+07:00,172,99993133544922
Load,2021-05-21T22:00:00+07:00,null
Load,2021-05-21T23:00:00+07:00,null
Load,2021-05-22T00:00:00+07:00,265,83154278993607
Load,2021-05-22T01:00:00+07:00,264,379677221179
Load,2021-05-22T02:00:00+07:00,260,39747984707355
Load,2021-05-22T03:00:00+07:00,273,4001752883196
Load,2021-05-22T04:00:00+07:00,301,41544468700886
Load,2021-05-22T05:00:00+07:00,306,1967582702637
Load,2021-05-22T06:00:00+07:00,301,42505264282227
Load,2021-05-22T07:00:00+07:00,265,24507904052734
Load,2021-05-22T08:00:00+07:00,250,54987335205078
Load,2021-05-22T09:00:00+07:00,226,42245483398438
Load,2021-05-22T10:00:00+07:00,222,42444610595703
Load,2021-05-22T11:00:00+07:00,216,73487854003906
Load,2021-05-22T12:00:00+07:00,210,30422973632812
Load,2021-05-22T13:00:00+07:00,211,43470764160156
Load,2021-05-22T14:00:00+07:00,230,46093368530273
Load,2021-05-22T15:00:00+07:00,245,75074577331543
Load,2021-05-22T16:00:00+07:00,417,04566287994385
Load,2021-05-22T17:00:00+07:00,429,5222110748291
Load,2021-05-22T18:00:00+07:00,409,4692716598511
Load,2021-05-22T19:00:00+07:00,379,1022960841656
Load,2021-05-22T20:00:00+07:00,342,10136476159096
Load,2021-05-22T21:00:00+07:00,304,10127997398376
Load,2021-05-22T22:00:00+07:00,284,101505368948
Load,2021-05-22T23:00:00+07:00,277,1021217703819
Load,2021-05-23T00:00:00+07:00,266,10123270750046
Load,2021-05-23T01:00:00+07:00,260,1021101474762
Load,2021-05-23T02:00:00+07:00,256,1022061407566
Load,2021-05-23T03:00:00+07:00,276,10087022185326
Load,2021-05-23T04:00:00+07:00,311,2267816364765
Load,2021-05-23T05:00:00+07:00,323,641544342041
Load,2021-05-23T06:00:00+07:00,259,69168758392334
Load,2021-05-23T07:00:00+07:00,252,93600463867188
Load,2021-05-23T08:00:00+07:00,240,7123146057129
Load,2021-05-23T09:00:00+07:00,235,42849731445312
Load,2021-05-23T10:00:00+07:00,230,35780334472656
Load,2021-05-23T11:00:00+07:00,217,99415588378906
Load,2021-05-23T12:00:00+07:00,209,3028564453125
Load,2021-05-23T13:00:00+07:00,208,36301803588867
Load,2021-05-23T14:00:00+07:00,228,0110626220703
Load,2021-05-23T15:00:00+07:00,242,9446964263916
Load,2021-05-23T16:00:00+07:00,415,2915868759155
Load,2021-05-23T17:00:00+07:00,428,99656772613525
Load,2021-05-23T18:00:00+07:00,398,8448123931885
Load,2021-05-23T19:00:00+07:00,376,01079285144806
Load,2021-05-23T20:00:00+07:00,344,0095601975918
Load,2021-05-23T21:00:00+07:00,304,008549451828
Load,2021-05-23T22:00:00+07:00,276,01094391942024
Load,2021-05-23T23:00:00+07:00,268,0102468430996
Load,2021-05-24T00:00:00+07:00,262,0102468430996
Load,2021-05-24T01:00:00+07:00,250,00989332795143
Load,2021-05-24T02:00:00+07:00,253,00449895858765
Load,2021-05-24T03:00:00+07:00,274,010915607214
Load,2021-05-24T04:00:00+07:00,293,0225731432438
Load,2021-05-24T05:00:00+07:00,314,1702070236206
Load,2021-05-24T06:00:00+07:00,271,71029472351074
Load,2021-05-24T07:00:00+07:00,257,2455139160156
Load,2021-05-24T08:00:00+07:00,246,55648803710938
Load,2021-05-24T09:00:00+07:00,221,87796020507812
Load,2021-05-24T10:00:00+07:00,207,6374053955078
Load,2021-05-24T11:00:00+07:00,207,23551177978516
Load,2021-05-24T12:00:00+07:00,195,1975326538086
Load,2021-05-24T13:00:00+07:00,213,00188636779785
Load,2021-05-24T14:00:00+07:00,224,92217254638672
Load,2021-05-24T15:00:00+07:00,244,7331600189209
Load,2021-05-24T16:00:00+07:00,421,1230697631836
Load,2021-05-24T17:00:00+07:00,444,13967418670654
Load,2021-05-24T18:00:00+07:00,399,93139457702637
Load,2021-05-24T19:00:00+07:00,374,32741498947144
Load,2021-05-24T20:00:00+07:00,343,3282397389412
Load,2021-05-24T21:00:00+07:00,304,3275001645088
Load,2021-05-24T22:00:00+07:00,283,3278144001961
Load,2021-05-24T23:00:00+07:00,268,3268848955631
Load,2021-05-25T00:00:00+07:00,253,3268123269081
Load,2021-05-25T01:00:00+07:00,247,32598388195038
Load,2021-05-25T02:00:00+07:00,247,3282863497734
Load,2021-05-25T03:00:00+07:00,264,3268144726753
Load,2021-05-25T04:00:00+07:00,290,33820766210556
Load,2021-05-25T05:00:00+07:00,314,32569885253906
Load,2021-05-25T06:00:00+07:00,284,2669792175293
Load,2021-05-25T07:00:00+07:00,260,62049865722656
Load,2021-05-25T08:00:00+07:00,232,35195922851562
Load,2021-05-25T09:00:00+07:00,231,31327056884766
Load,2021-05-25T10:00:00+07:00,218,7955093383789
Load,2021-05-25T11:00:00+07:00,228,17285919189453
Load,2021-05-25T12:00:00+07:00,210,98421478271484
Load,2021-05-25T13:00:00+07:00,211,03722381591797
Load,2021-05-25T14:00:00+07:00,226,13769149780273
Load,2021-05-25T15:00:00+07:00,242,167893409729
Load,2021-05-25T16:00:00+07:00,409,12137365341187
Load,2021-05-25T17:00:00+07:00,421,77224349975586
Load,2021-05-25T18:00:00+07:00,401,57281970977783
Load,2021-05-25T19:00:00+07:00,371,11761170625687
Load,2021-05-25T20:00:00+07:00,346,11733520030975
Load,2021-05-25T21:00:00+07:00,311,11807611584663
Load,2021-05-25T22:00:00+07:00,285,11894807219505
Load,2021-05-25T23:00:00+07:00,267,1161406338215
Load,2021-05-26T00:00:00+07:00,256,9118226468563
Load,2021-05-26T01:00:00+07:00,255,50564990192652
Load,2021-05-26T02:00:00+07:00,256,5062472894788
Load,2021-05-26T03:00:00+07:00,268,50683058053255
Load,2021-05-26T04:00:00+07:00,294,52071226388216
Load,2021-05-26T05:00:00+07:00,313,3347797393799
Load,2021-05-26T06:00:00+07:00,284,8083701133728
Load,2021-05-26T07:00:00+07:00,261,3676414489746
Load,2021-05-26T08:00:00+07:00,241,0373992919922
Load,2021-05-26T09:00:00+07:00,231,66576385498047
Load,2021-05-26T10:00:00+07:00,213,91571807861328
Load,2021-05-26T11:00:00+07:00,200,60841751098633
Load,2021-05-26T12:00:00+07:00,211,79767608642578
Load,2021-05-26T13:00:00+07:00,215,26742553710938
Load,2021-05-26T14:00:00+07:00,222,86498260498047
Load,2021-05-26T15:00:00+07:00,244,64753103256226
Load,2021-05-26T16:00:00+07:00,404,07120990753174
Load,2021-05-26T17:00:00+07:00,431,2745609283447
Load,2021-05-26T18:00:00+07:00,402,04898262023926
Load,2021-05-26T19:00:00+07:00,378,11241269111633
Load,2021-05-26T20:00:00+07:00,338,1105789244175
Load,2021-05-26T21:00:00+07:00,305,1105789244175
Load,2021-05-26T22:00:00+07:00,288,10836377739906
Load,2021-05-26T23:00:00+07:00,277,10908365249634
Load,2021-05-27T00:00:00+07:00,265,10828280448914
Load,2021-05-27T01:00:00+07:00,257,1099607050419
Load,2021-05-27T02:00:00+07:00,257,10867273807526
Load,2021-05-27T03:00:00+07:00,271,10649052262306
Load,2021-05-27T04:00:00+07:00,297,1201809346676
Load,2021-05-27T05:00:00+07:00,311,39210057258606
Load,2021-05-27T06:00:00+07:00,280,9032554626465
Load,2021-05-27T07:00:00+07:00,255,4542694091797
Load,2021-05-27T08:00:00+07:00,217,08747100830078
Load,2021-05-27T09:00:00+07:00,209,90941619873047
Load,2021-05-27T10:00:00+07:00,203,29342651367188
Load,2021-05-27T11:00:00+07:00,191,4555435180664
Load,2021-05-27T12:00:00+07:00,203,71810150146484
Load,2021-05-27T13:00:00+07:00,202,84674072265625
Load,2021-05-27T14:00:00+07:00,211,4323616027832
Load,2021-05-27T15:00:00+07:00,252,722638130188
Load,2021-05-27T16:00:00+07:00,411,19515919685364
Load,2021-05-27T17:00:00+07:00,418,20845222473145
Load,2021-05-27T18:00:00+07:00,390,009370803833
Load,2021-05-27T19:00:00+07:00,374,10073360800743
Load,2021-05-27T20:00:00+07:00,335,10015881061554
Load,2021-05-27T21:00:00+07:00,303,1011330485344
Load,2021-05-27T22:00:00+07:00,279,1014042496681
Load,2021-05-27T23:00:00+07:00,266,1016703248024
Load,2021-05-28T00:00:00+07:00,250,0968945324421
Load,2021-05-28T01:00:00+07:00,246,0977104306221
Load,2021-05-28T02:00:00+07:00,249,09792858362198
Load,2021-05-28T03:00:00+07:00,260,09829050302505
Load,2021-05-28T04:00:00+07:00,294,1125188469887
Load,2021-05-28T05:00:00+07:00,318,87291145324707
Load,2021-05-28T06:00:00+07:00,301,29388904571533
Load,2021-05-28T07:00:00+07:00,267,28986740112305
Load,2021-05-28T08:00:00+07:00,230,70501708984375
Load,2021-05-28T09:00:00+07:00,211,04741668701172
Load,2021-05-28T10:00:00+07:00,208,3530502319336
Load,2021-05-28T11:00:00+07:00,201,94327545166016
Load,2021-05-28T12:00:00+07:00,206,04901123046875
Load,2021-05-28T13:00:00+07:00,206,3064193725586
Load,2021-05-28T14:00:00+07:00,214,81974601745605
Load,2021-05-28T15:00:00+07:00,266,1659531593323
Load,2021-05-28T16:00:00+07:00,420,70655250549316
Load,2021-05-28T17:00:00+07:00,418,8077030181885
Load,2021-05-28T18:00:00+07:00,388,19139671325684
Load,2021-05-28T19:00:00+07:00,382,2650714814663
Load,2021-05-28T20:00:00+07:00,355,2666677236557
Load,2021-05-28T21:00:00+07:00,316,2663641870022
Load,2021-05-28T22:00:00+07:00,293,2655067741871
Load,2021-05-28T23:00:00+07:00,278,26365557312965
Load,2021-05-29T00:00:00+07:00,265,26466116309166
Load,2021-05-29T01:00:00+07:00,257,26337161660194
Load,2021-05-29T02:00:00+07:00,256,26581886410713
Load,2021-05-29T03:00:00+07:00,266,2653426826
Load,2021-05-29T04:00:00+07:00,293,2790004014969
Load,2021-05-29T05:00:00+07:00,326,3919048309326
Load,2021-05-29T06:00:00+07:00,296,3226509094238
Load,2021-05-29T07:00:00+07:00,273,4762954711914
Load,2021-05-29T08:00:00+07:00,259,63060569763184
Load,2021-05-29T09:00:00+07:00,224,50558471679688
Load,2021-05-29T10:00:00+07:00,230,81847381591797
Load,2021-05-29T11:00:00+07:00,206,37355041503906
Load,2021-05-29T12:00:00+07:00,204,36113739013672
Load,2021-05-29T13:00:00+07:00,214,60162353515625
Load,2021-05-29T14:00:00+07:00,225,1880645751953
Load,2021-05-29T15:00:00+07:00,251,63731050491333
Load,2021-05-29T16:00:00+07:00,421,0382537841797
Load,2021-05-29T17:00:00+07:00,433,1963081359863
Load,2021-05-29T18:00:00+07:00,411,1385841369629
Load,2021-05-29T19:00:00+07:00,398,30835232138634
Load,2021-05-29T20:00:00+07:00,363,31040263175964
Load,2021-05-29T21:00:00+07:00,324,3096599280834
Load,2021-05-29T22:00:00+07:00,296,30703979730606
Load,2021-05-29T23:00:00+07:00,277,3091934323311
Load,2021-05-30T00:00:00+07:00,268,3081511259079
Load,2021-05-30T01:00:00+07:00,263,30616945028305
Load,2021-05-30T02:00:00+07:00,263,3089790046215
Load,2021-05-30T03:00:00+07:00,285,3099623322487
Load,2021-05-30T04:00:00+07:00,326,32000160217285
Load,2021-05-30T05:00:00+07:00,332,43949031829834
Load,2021-05-30T06:00:00+07:00,283,4973168373108
Load,2021-05-30T07:00:00+07:00,271,9269905090332
Load,2021-05-30T08:00:00+07:00,261,5906238555908
Load,2021-05-30T09:00:00+07:00,241,13246154785156
Load,2021-05-30T10:00:00+07:00,225,73924255371094
Load,2021-05-30T11:00:00+07:00,215,49254608154297
Load,2021-05-30T12:00:00+07:00,212,2612533569336
Load,2021-05-30T13:00:00+07:00,210,10626983642578
Load,2021-05-30T14:00:00+07:00,228,04635906219482
Load,2021-05-30T15:00:00+07:00,246,70190286636353
Load,2021-05-30T16:00:00+07:00,438,07220458984375
Load,2021-05-30T17:00:00+07:00,435,7418270111084
Load,2021-05-30T18:00:00+07:00,392,59519624710083
Load,2021-05-30T19:00:00+07:00,378,1073570549488
Load,2021-05-30T20:00:00+07:00,351,10794672369957
Load,2021-05-30T21:00:00+07:00,312,10945945978165
Load,2021-05-30T22:00:00+07:00,290,106970846653
Load,2021-05-30T23:00:00+07:00,270,1072398722172
Load,2021-05-31T00:00:00+07:00,265,10790541768074
Load,2021-05-31T01:00:00+07:00,253,10774090886116
Load,2021-05-31T02:00:00+07:00,254,10774090886116
Load,2021-05-31T03:00:00+07:00,266,1078463792801
Load,2021-05-31T04:00:00+07:00,307,1183257997036
Load,2021-05-31T05:00:00+07:00,327,5827422142029
Load,2021-05-31T06:00:00+07:00,270,1722164154053
Load,2021-05-31T07:00:00+07:00,270,9192657470703
Load,2021-05-31T08:00:00+07:00,233,69855499267578
Load,2021-05-31T09:00:00+07:00,224,46603393554688
Load,2021-05-31T10:00:00+07:00,225,33290100097656
Load,2021-05-31T11:00:00+07:00,207,77969360351562
Load,2021-05-31T12:00:00+07:00,211,7159423828125
Load,2021-05-31T13:00:00+07:00,209,8902816772461
Load,2021-05-31T14:00:00+07:00,243,9127197265625
Load,2021-05-31T15:00:00+07:00,255,3793592453003
Load,2021-05-31T16:00:00+07:00,418,8924307823181
Load,2021-05-31T17:00:00+07:00,437,49238204956055
Load,2021-05-31T18:00:00+07:00,411,82788467407227
Load,2021-05-31T19:00:00+07:00,377,30059364438057
Load,2021-05-31T20:00:00+07:00,343,3011559844017
Load,2021-05-31T21:00:00+07:00,310,30112636089325
Load,2021-05-31T22:00:00+07:00,293,3046270608902
Load,2021-05-31T23:00:00+07:00,275,3039862513542
Load,2021-06-01T00:00:00+07:00,266,30282950401306
Load,2021-06-01T01:00:00+07:00,261,30260905623436
Load,2021-06-01T02:00:00+07:00,255,3026733994484
Load,2021-06-01T03:00:00+07:00,265,303829818964
Load,2021-06-01T04:00:00+07:00,288,3179166018963
Load,2021-06-01T05:00:00+07:00,310,81773376464844
Load,2021-06-01T06:00:00+07:00,295,4130058288574
Load,2021-06-01T07:00:00+07:00,257,39232635498047
Load,2021-06-01T08:00:00+07:00,237,70632553100586
Load,2021-06-01T09:00:00+07:00,216,42940521240234
Load,2021-06-01T10:00:00+07:00,224,69113540649414
Load,2021-06-01T11:00:00+07:00,206,15343856811523
Load,2021-06-01T12:00:00+07:00,198,41248321533203
Load,2021-06-01T13:00:00+07:00,209,44137573242188
Load,2021-06-01T14:00:00+07:00,227,82411575317383
Load,2021-06-01T15:00:00+07:00,249,3958990573883
Load,2021-06-01T16:00:00+07:00,427,14197229221463
Load,2021-06-01T17:00:00+07:00,448,59832096099854
Load,2021-06-01T18:00:00+07:00,418,2072067260742
Load,2021-06-01T19:00:00+07:00,387,0105580985546
Load,2021-06-01T20:00:00+07:00,354,0106498301029
Load,2021-06-01T21:00:00+07:00,307,0103766620159
Load,2021-06-01T22:00:00+07:00,286,00913551449776
Load,2021-06-01T23:00:00+07:00,278,0100219845772
Load,2021-06-02T00:00:00+07:00,268,0111719071865
Load,2021-06-02T01:00:00+07:00,264,0108086168766
Load,2021-06-02T02:00:00+07:00,258,0098043978214
Load,2021-06-02T03:00:00+07:00,278,0108257830143
Load,2021-06-02T04:00:00+07:00,330,0217441022396
Load,2021-06-02T05:00:00+07:00,335,7652750015259
Load,2021-06-02T06:00:00+07:00,286,1995139122009
Load,2021-06-02T07:00:00+07:00,268,5580825805664
Load,2021-06-02T08:00:00+07:00,222,00445556640625
Load,2021-06-02T09:00:00+07:00,213,28111267089844
Load,2021-06-02T10:00:00+07:00,221,83949279785156
Load,2021-06-02T11:00:00+07:00,214,88845825195312
Load,2021-06-02T12:00:00+07:00,207,34402465820312
Load,2021-06-02T13:00:00+07:00,203,2220230102539
Load,2021-06-02T14:00:00+07:00,220,0915470123291
Load,2021-06-02T15:00:00+07:00,258,9122314453125
Load,2021-06-02T16:00:00+07:00,436,06475830078125
Load,2021-06-02T17:00:00+07:00,432,19828510284424
Load,2021-06-02T18:00:00+07:00,427,79893016815186
Load,2021-06-02T19:00:00+07:00,null
Load,2021-06-02T20:00:00+07:00,null
Load,2021-06-02T21:00:00+07:00,null
Load,2021-06-02T22:00:00+07:00,285,16172698140144
Load,2021-06-02T23:00:00+07:00,276,22385734319687
Load,2021-06-03T00:00:00+07:00,270,224649310112
Load,2021-06-03T01:00:00+07:00,261,2253140807152
Load,2021-06-03T02:00:00+07:00,260,22548097372055
Load,2021-06-03T03:00:00+07:00,285,2247853279114
Load,2021-06-03T04:00:00+07:00,318,2384103536606
Load,2021-06-03T05:00:00+07:00,323,83958673477173
Load,2021-06-03T06:00:00+07:00,278,89168071746826
Load,2021-06-03T07:00:00+07:00,275,5602264404297
Load,2021-06-03T08:00:00+07:00,202,3271255493164
Load,2021-06-03T09:00:00+07:00,188,8764877319336
Load,2021-06-03T10:00:00+07:00,181,12418365478516
Load,2021-06-03T11:00:00+07:00,183,11093139648438
Load,2021-06-03T12:00:00+07:00,185,87609100341797
Load,2021-06-03T13:00:00+07:00,185,45633697509766
Load,2021-06-03T14:00:00+07:00,192,02349281311035
Load,2021-06-03T15:00:00+07:00,250,4010385274887
Load,2021-06-03T16:00:00+07:00,448,977840423584
Load,2021-06-03T17:00:00+07:00,449,6059226989746
Load,2021-06-03T18:00:00+07:00,417,53368759155273
Load,2021-06-03T19:00:00+07:00,394,3822180777788
Load,2021-06-03T20:00:00+07:00,354,38128988444805
Load,2021-06-03T21:00:00+07:00,316,3816492408514
Load,2021-06-03T22:00:00+07:00,295,3813379853964
Load,2021-06-03T23:00:00+07:00,281,3796984106302
Load,2021-06-04T00:00:00+07:00,273,3796984106302
Load,2021-06-04T01:00:00+07:00,270,379567489028
Load,2021-06-04T02:00:00+07:00,271,3790426403284
Load,2021-06-04T03:00:00+07:00,284,3791878670454
Load,2021-06-04T04:00:00+07:00,318,3903158158064
Load,2021-06-04T05:00:00+07:00,336,1571536064148
